"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"03/31/2023","AQS","010030010","1","0.047","ppm","44","FAIRHOPE, Alabama","17","100.0000","44201","Ozone","087","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4974780008256","-87.880258"
"04/01/2023","AQS","010030010","1","0.033","ppm","31","FAIRHOPE, Alabama","17","100.0000","44201","Ozone","087","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4974780008256","-87.880258"
"04/02/2023","AQS","010030010","1","0.049","ppm","45","FAIRHOPE, Alabama","17","100.0000","44201","Ozone","087","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4974780008256","-87.880258"
"04/03/2023","AQS","010030010","1","0.028","ppm","26","FAIRHOPE, Alabama","17","100.0000","44201","Ozone","087","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4974780008256","-87.880258"
"04/04/2023","AQS","010030010","1","0.024","ppm","22","FAIRHOPE, Alabama","17","100.0000","44201","Ozone","087","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4974780008256","-87.880258"
"04/05/2023","AQS","010030010","1","0.018","ppm","17","FAIRHOPE, Alabama","17","100.0000","44201","Ozone","087","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4974780008256","-87.880258"
"04/06/2023","AQS","010030010","1","0.022","ppm","20","FAIRHOPE, Alabama","17","100.0000","44201","Ozone","087","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4974780008256","-87.880258"
"04/07/2023","AQS","010030010","1","0.025","ppm","23","FAIRHOPE, Alabama","17","100.0000","44201","Ozone","087","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4974780008256","-87.880258"
"04/08/2023","AQS","010030010","1","0.024","ppm","22","FAIRHOPE, Alabama","17","100.0000","44201","Ozone","087","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4974780008256","-87.880258"
"04/09/2023","AQS","010030010","1","0.031","ppm","29","FAIRHOPE, Alabama","17","100.0000","44201","Ozone","087","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4974780008256","-87.880258"
"04/10/2023","AQS","010030010","1","0.039","ppm","36","FAIRHOPE, Alabama","17","100.0000","44201","Ozone","087","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4974780008256","-87.880258"
"04/11/2023","AQS","010030010","1","0.043","ppm","40","FAIRHOPE, Alabama","17","100.0000","44201","Ozone","087","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4974780008256","-87.880258"
"04/12/2023","AQS","010030010","1","0.036","ppm","33","FAIRHOPE, Alabama","17","100.0000","44201","Ozone","087","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4974780008256","-87.880258"
"04/13/2023","AQS","010030010","1","0.047","ppm","44","FAIRHOPE, Alabama","17","100.0000","44201","Ozone","087","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4974780008256","-87.880258"
"04/14/2023","AQS","010030010","1","0.049","ppm","45","FAIRHOPE, Alabama","17","100.0000","44201","Ozone","087","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4974780008256","-87.880258"
"04/15/2023","AQS","010030010","1","0.04","ppm","37","FAIRHOPE, Alabama","17","100.0000","44201","Ozone","087","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4974780008256","-87.880258"
"04/16/2023","AQS","010030010","1","0.044","ppm","41","FAIRHOPE, Alabama","17","100.0000","44201","Ozone","087","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4974780008256","-87.880258"
"04/17/2023","AQS","010030010","1","0.053","ppm","49","FAIRHOPE, Alabama","17","100.0000","44201","Ozone","087","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4974780008256","-87.880258"
"04/18/2023","AQS","010030010","1","0.054","ppm","50","FAIRHOPE, Alabama","17","100.0000","44201","Ozone","087","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4974780008256","-87.880258"
"04/19/2023","AQS","010030010","1","0.062","ppm","74","FAIRHOPE, Alabama","17","100.0000","44201","Ozone","087","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4974780008256","-87.880258"
"04/20/2023","AQS","010030010","1","0.052","ppm","48","FAIRHOPE, Alabama","17","100.0000","44201","Ozone","087","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4974780008256","-87.880258"
"04/21/2023","AQS","010030010","1","0.045","ppm","42","FAIRHOPE, Alabama","17","100.0000","44201","Ozone","087","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4974780008256","-87.880258"
"04/22/2023","AQS","010030010","1","0.048","ppm","44","FAIRHOPE, Alabama","17","100.0000","44201","Ozone","087","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4974780008256","-87.880258"
"04/23/2023","AQS","010030010","1","0.053","ppm","49","FAIRHOPE, Alabama","17","100.0000","44201","Ozone","087","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4974780008256","-87.880258"
"04/24/2023","AQS","010030010","1","0.041","ppm","38","FAIRHOPE, Alabama","17","100.0000","44201","Ozone","087","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4974780008256","-87.880258"
"04/25/2023","AQS","010030010","1","0.05","ppm","46","FAIRHOPE, Alabama","17","100.0000","44201","Ozone","087","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4974780008256","-87.880258"
"04/26/2023","AQS","010030010","1","0.036","ppm","33","FAIRHOPE, Alabama","17","100.0000","44201","Ozone","087","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4974780008256","-87.880258"
"04/27/2023","AQS","010030010","1","0.041","ppm","38","FAIRHOPE, Alabama","17","100.0000","44201","Ozone","087","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4974780008256","-87.880258"
"04/28/2023","AQS","010030010","1","0.054","ppm","50","FAIRHOPE, Alabama","17","100.0000","44201","Ozone","087","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4974780008256","-87.880258"
"04/29/2023","AQS","010030010","1","0.049","ppm","45","FAIRHOPE, Alabama","17","100.0000","44201","Ozone","087","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4974780008256","-87.880258"
"04/30/2023","AQS","010030010","1","0.047","ppm","44","FAIRHOPE, Alabama","17","100.0000","44201","Ozone","087","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4974780008256","-87.880258"
"05/01/2023","AQS","010030010","1","0.056","ppm","54","FAIRHOPE, Alabama","17","100.0000","44201","Ozone","087","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4974780008256","-87.880258"
"05/02/2023","AQS","010030010","1","0.062","ppm","74","FAIRHOPE, Alabama","17","100.0000","44201","Ozone","087","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4974780008256","-87.880258"
"05/03/2023","AQS","010030010","1","0.067","ppm","90","FAIRHOPE, Alabama","17","100.0000","44201","Ozone","087","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4974780008256","-87.880258"
"05/04/2023","AirNow","010030010","1","0.057","ppm","58","FAIRHOPE, Alabama","24","100.0000","44201","Ozone","","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4974780008256","-87.880258"
"05/05/2023","AQS","010030010","1","0.048","ppm","44","FAIRHOPE, Alabama","17","100.0000","44201","Ozone","087","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4974780008256","-87.880258"
"05/06/2023","AQS","010030010","1","0.037","ppm","34","FAIRHOPE, Alabama","17","100.0000","44201","Ozone","087","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4974780008256","-87.880258"
"05/07/2023","AQS","010030010","1","0.038","ppm","35","FAIRHOPE, Alabama","17","100.0000","44201","Ozone","087","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4974780008256","-87.880258"
"05/08/2023","AQS","010030010","1","0.034","ppm","31","FAIRHOPE, Alabama","17","100.0000","44201","Ozone","087","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4974780008256","-87.880258"
"05/09/2023","AQS","010030010","1","0.031","ppm","29","FAIRHOPE, Alabama","17","100.0000","44201","Ozone","087","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4974780008256","-87.880258"
"05/10/2023","AQS","010030010","1","0.029","ppm","27","FAIRHOPE, Alabama","17","100.0000","44201","Ozone","087","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4974780008256","-87.880258"
"05/11/2023","AQS","010030010","1","0.048","ppm","44","FAIRHOPE, Alabama","17","100.0000","44201","Ozone","087","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4974780008256","-87.880258"
"05/12/2023","AQS","010030010","1","0.045","ppm","42","FAIRHOPE, Alabama","17","100.0000","44201","Ozone","087","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4974780008256","-87.880258"
"05/13/2023","AQS","010030010","1","0.043","ppm","40","FAIRHOPE, Alabama","17","100.0000","44201","Ozone","087","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4974780008256","-87.880258"
"05/14/2023","AQS","010030010","1","0.043","ppm","40","FAIRHOPE, Alabama","17","100.0000","44201","Ozone","087","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4974780008256","-87.880258"
"05/15/2023","AQS","010030010","1","0.038","ppm","35","FAIRHOPE, Alabama","17","100.0000","44201","Ozone","087","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4974780008256","-87.880258"
